id,user,date,pc,activity
D1,U100,2024-01-01 08:32:40.637407,PC-100,Connect
D2,U100,2024-01-01 08:44:40.637407,PC-100,Disconnect
D20,U101,2024-01-01 08:38:39.997702,PC-101,Connect
D21,U101,2024-01-01 09:08:39.997702,PC-101,Disconnect
D82,U104,2024-01-01 15:16:39.387800,PC-104,Connect
D83,U104,2024-01-01 15:39:39.387800,PC-104,Disconnect
D86,U105,2024-01-01 08:53:41.333342,PC-105,Connect
D87,U105,2024-01-01 09:12:41.333342,PC-105,Disconnect
D100,U105,2024-01-01 15:24:41.333342,PC-105,Connect
D101,U105,2024-01-01 15:33:41.333342,PC-105,Disconnect
D161,U109,2024-01-01 15:14:22.297653,PC-109,Connect
D174,U110,2024-01-01 14:17:15.837207,PC-110,Connect
D182,U111,2024-01-01 10:31:41.524889,PC-111,Connect
D183,U111,2024-01-01 10:37:41.524889,PC-111,Disconnect
D184,U111,2024-01-01 11:31:41.524889,PC-111,Connect
D185,U111,2024-01-01 11:46:41.524889,PC-111,Disconnect
D232,U114,2024-01-01 14:06:41.406805,PC-114,Connect
D233,U114,2024-01-01 14:23:41.406805,PC-114,Disconnect
D241,U115,2024-01-01 09:18:59.405564,PC-115,Connect
D242,U115,2024-01-01 09:45:59.405564,PC-115,Disconnect
D250,U115,2024-01-01 12:55:59.405564,PC-115,Connect
D251,U115,2024-01-01 13:18:59.405564,PC-115,Disconnect
D285,U117,2024-01-01 10:28:33.263202,PC-117,Connect
D286,U117,2024-01-01 10:45:33.263202,PC-117,Disconnect
D308,U118,2024-01-01 11:22:29.729787,PC-118,Connect
D309,U118,2024-01-01 11:27:29.729787,PC-118,Disconnect
D329,U119,2024-01-01 15:07:39.715403,PC-119,Connect
D330,U119,2024-01-01 15:13:39.715403,PC-119,Disconnect
D331,U119,2024-01-01 15:12:39.715403,PC-119,Connect
D332,U119,2024-01-01 15:27:39.715403,PC-119,Disconnect
D356,U120,2024-01-01 17:08:05.194577,PC-120,Connect
D357,U120,2024-01-01 17:34:05.194577,PC-120,Disconnect
D364,U121,2024-01-01 10:05:07.872271,PC-121,Connect
D365,U121,2024-01-01 10:10:07.872271,PC-121,Disconnect
D386,U122,2024-01-01 14:30:20.331864,PC-122,Connect
D387,U122,2024-01-01 14:41:20.331864,PC-122,Disconnect
D389,U122,2024-01-01 15:26:20.331864,PC-122,Connect
D390,U122,2024-01-01 15:39:20.331864,PC-122,Disconnect
D404,U123,2024-01-01 13:40:44.906994,PC-123,Connect
D405,U123,2024-01-01 13:58:44.906994,PC-123,Disconnect
D415,U124,2024-01-01 09:13:19.423061,PC-124,Connect
D416,U124,2024-01-01 09:43:19.423061,PC-124,Disconnect
D417,U124,2024-01-01 09:52:19.423061,PC-124,Connect
D418,U124,2024-01-01 10:18:19.423061,PC-124,Disconnect
D436,U125,2024-01-01 11:12:33.169827,PC-125,Connect
D437,U125,2024-01-01 11:29:33.169827,PC-125,Disconnect
D440,U125,2024-01-01 12:55:33.169827,PC-125,Connect
D441,U125,2024-01-01 13:09:33.169827,PC-125,Disconnect
D452,U126,2024-01-01 11:24:33.358342,PC-126,Connect
D453,U126,2024-01-01 11:50:33.358342,PC-126,Disconnect
D454,U126,2024-01-01 12:09:33.358342,PC-126,Connect
D455,U126,2024-01-01 12:33:33.358342,PC-126,Disconnect
D462,U126,2024-01-01 15:06:33.358342,PC-126,Connect
D463,U126,2024-01-01 15:12:33.358342,PC-126,Disconnect
D500,U129,2024-01-01 12:49:20.846974,PC-129,Connect
D501,U129,2024-01-01 13:17:20.846974,PC-129,Disconnect
D573,U133,2024-01-01 13:48:48.480163,PC-133,Connect
D574,U133,2024-01-01 13:57:48.480163,PC-133,Disconnect
D588,U134,2024-01-01 09:51:25.542972,PC-134,Connect
D589,U134,2024-01-01 10:11:25.542972,PC-134,Disconnect
D592,U134,2024-01-01 11:28:25.542972,PC-134,Connect
D593,U134,2024-01-01 11:34:25.542972,PC-134,Disconnect
D615,U135,2024-01-01 13:36:51.723584,PC-135,Connect
D616,U135,2024-01-01 14:04:51.723584,PC-135,Disconnect
D628,U136,2024-01-01 08:39:38.184164,PC-136,Connect
D629,U136,2024-01-01 09:08:38.184164,PC-136,Disconnect
D706,U140,2024-01-01 15:26:10.246668,PC-140,Connect
D707,U140,2024-01-01 15:54:10.246668,PC-140,Disconnect
D739,U142,2024-01-01 10:39:14.692016,PC-142,Connect
D740,U142,2024-01-01 10:52:14.692016,PC-142,Disconnect
D744,U142,2024-01-01 13:23:14.692016,PC-142,Connect
D745,U142,2024-01-01 13:30:14.692016,PC-142,Disconnect
D820,U147,2024-01-01 09:43:54.850244,PC-147,Connect
D821,U147,2024-01-01 09:55:54.850244,PC-147,Disconnect
D874,U100,2024-01-02 13:02:07.449974,PC-100,Connect
D875,U100,2024-01-02 13:11:07.449974,PC-100,Disconnect
D887,U101,2024-01-02 12:38:36.689920,PC-101,Connect
D888,U101,2024-01-02 12:45:36.689920,PC-101,Disconnect
D897,U101,2024-01-02 17:18:36.689920,PC-101,Connect
D898,U101,2024-01-02 17:36:36.689920,PC-101,Disconnect
D932,U104,2024-01-02 12:05:26.555730,PC-104,Connect
D933,U104,2024-01-02 12:11:26.555730,PC-104,Disconnect
D946,U105,2024-01-02 10:04:16.644826,PC-105,Connect
D947,U105,2024-01-02 10:27:16.644826,PC-105,Disconnect
D960,U106,2024-01-02 09:06:18.018653,PC-106,Connect
D961,U106,2024-01-02 09:31:18.018653,PC-106,Disconnect
D973,U107,2024-01-02 08:29:38.463422,PC-107,Connect
D974,U107,2024-01-02 08:54:38.463422,PC-107,Disconnect
D977,U107,2024-01-02 10:20:38.463422,PC-107,Connect
D978,U107,2024-01-02 10:49:38.463422,PC-107,Disconnect
D994,U108,2024-01-02 10:37:06.767624,PC-108,Connect
D995,U108,2024-01-02 10:44:06.767624,PC-108,Disconnect
D1044,U111,2024-01-02 12:30:48.100503,PC-111,Connect
D1045,U111,2024-01-02 12:55:48.100503,PC-111,Disconnect
D1056,U111,2024-01-02 18:00:48.100503,PC-111,Connect
D1057,U111,2024-01-02 18:10:48.100503,PC-111,Disconnect
D1058,U111,2024-01-02 18:17:48.100503,PC-111,Connect
D1059,U111,2024-01-02 18:26:48.100503,PC-111,Disconnect
D1070,U112,2024-01-02 12:39:25.128101,PC-112,Connect
D1071,U112,2024-01-02 13:07:25.128101,PC-112,Disconnect
D1082,U113,2024-01-02 14:15:42.289417,PC-113,Connect
D1083,U113,2024-01-02 14:45:42.289417,PC-113,Disconnect
D1090,U113,2024-01-02 17:19:42.289417,PC-113,Connect
D1091,U113,2024-01-02 17:35:42.289417,PC-113,Disconnect
D1102,U114,2024-01-02 12:53:21.494421,PC-114,Connect
D1103,U114,2024-01-02 13:18:21.494421,PC-114,Disconnect
D1137,U116,2024-01-02 13:51:15.813027,PC-116,Connect
D1138,U116,2024-01-02 13:59:15.813027,PC-116,Disconnect
