id,user,date,pc,filename,activity,to_removable_media
F3,U100,2024-01-01 08:45:40.637407,PC-100,brother.numbers,Edit,False
F5,U100,2024-01-01 10:29:40.637407,PC-100,blue.key,Edit,False
F15,U100,2024-01-01 14:21:40.637407,PC-100,finally.docx,Open,False
F22,U101,2024-01-01 09:38:39.997702,PC-101,woman.docx,Open,False
F25,U101,2024-01-01 11:08:39.997702,PC-101,evidence.xls,Open,False
F26,U101,2024-01-01 11:34:39.997702,PC-101,turn.odp,Open,False
F30,U101,2024-01-01 12:39:39.997702,PC-101,part.pages,Open,False
F34,U101,2024-01-01 13:56:39.997702,PC-101,hundred.xls,Open,False
F40,U102,2024-01-01 09:18:02.552734,PC-102,year.docx,Open,False
F41,U102,2024-01-01 09:58:02.552734,PC-102,employee.pages,Open,False
F43,U102,2024-01-01 11:19:02.552734,PC-102,lot.ppt,Open,False
F47,U102,2024-01-01 14:16:02.552734,PC-102,tonight.numbers,Open,False
F48,U102,2024-01-01 14:57:02.552734,PC-102,mouth.ppt,Edit,False
F51,U102,2024-01-01 16:13:02.552734,PC-102,pass.pptx,Open,False
F59,U103,2024-01-01 11:46:25.955743,PC-103,treatment.ppt,Edit,False
F63,U103,2024-01-01 13:48:25.955743,PC-103,section.doc,Edit,False
F74,U104,2024-01-01 11:39:39.387800,PC-104,loss.docx,Open,False
F80,U104,2024-01-01 14:49:39.387800,PC-104,wide.ods,Open,False
F93,U105,2024-01-01 11:33:41.333342,PC-105,wide.pdf,Open,False
F103,U105,2024-01-01 16:37:41.333342,PC-105,manager.ppt,Open,False
F107,U106,2024-01-01 09:08:49.778714,PC-106,civil.doc,Open,False
F108,U106,2024-01-01 10:03:49.778714,PC-106,talk.xls,Open,False
F109,U106,2024-01-01 10:51:49.778714,PC-106,fly.pages,Open,False
F114,U106,2024-01-01 13:38:49.778714,PC-106,summer.numbers,Open,False
F116,U106,2024-01-01 14:37:49.778714,PC-106,will.pages,Open,False
F117,U106,2024-01-01 15:17:49.778714,PC-106,leg.ppt,Open,False
F118,U106,2024-01-01 16:17:49.778714,PC-106,management.docx,Open,False
F128,U107,2024-01-01 12:47:28.440778,PC-107,professor.doc,Edit,False
F129,U107,2024-01-01 13:08:28.440778,PC-107,successful.pages,Open,False
F136,U108,2024-01-01 08:10:35.165027,PC-108,she.ppt,Open,False
F138,U108,2024-01-01 09:18:35.165027,PC-108,identify.pages,Edit,False
F140,U108,2024-01-01 10:40:35.165027,PC-108,material.key,Open,False
F144,U108,2024-01-01 12:45:35.165027,PC-108,free.odt,Open,False
F146,U108,2024-01-01 14:05:35.165027,PC-108,compare.ods,Open,False
F148,U108,2024-01-01 14:33:35.165027,PC-108,poor.docx,Open,False
F151,U109,2024-01-01 09:48:22.297653,PC-109,president.odt,Open,False
F152,U109,2024-01-01 10:24:22.297653,PC-109,effect.numbers,Open,False
F154,U109,2024-01-01 11:30:22.297653,PC-109,letter.docx,Open,False
F156,U109,2024-01-01 12:36:22.297653,PC-109,loss.ppt,Open,False
F166,U110,2024-01-01 09:47:15.837207,PC-110,whole.pptx,Open,False
F167,U110,2024-01-01 10:37:15.837207,PC-110,do.pages,Open,False
F170,U110,2024-01-01 12:18:15.837207,PC-110,bit.pptx,Open,False
F172,U110,2024-01-01 13:32:15.837207,PC-110,other.pdf,Open,False
F192,U111,2024-01-01 15:10:41.524889,PC-111,speak.odp,Edit,False
F193,U111,2024-01-01 15:51:41.524889,PC-111,positive.pages,Open,False
F197,U112,2024-01-01 08:34:45.161585,PC-112,benefit.doc,Edit,False
F199,U112,2024-01-01 09:32:45.161585,PC-112,beat.numbers,Edit,False
F200,U112,2024-01-01 10:04:45.161585,PC-112,level.ppt,Open,False
F201,U112,2024-01-01 10:31:45.161585,PC-112,language.numbers,Open,False
F207,U112,2024-01-01 13:54:45.161585,PC-112,drug.key,Open,False
F210,U113,2024-01-01 09:22:07.986687,PC-113,operation.odp,Open,False
F211,U113,2024-01-01 09:35:07.986687,PC-113,sure.numbers,Open,False
F216,U113,2024-01-01 12:10:07.986687,PC-113,cost.docx,Open,False
F218,U113,2024-01-01 13:39:07.986687,PC-113,movement.pptx,Open,False
F219,U113,2024-01-01 14:39:07.986687,PC-113,force.docx,Open,False
F226,U114,2024-01-01 11:31:41.406805,PC-114,TV.pages,Open,False
F228,U114,2024-01-01 12:06:41.406805,PC-114,operation.ppt,Open,False
F230,U114,2024-01-01 13:13:41.406805,PC-114,difficult.xls,Open,False
F231,U114,2024-01-01 13:48:41.406805,PC-114,yourself.pptx,Open,False
F234,U114,2024-01-01 14:14:41.406805,PC-114,mention.pdf,Open,False
F235,U114,2024-01-01 14:29:41.406805,PC-114,draw.xlsx,Open,False
F244,U115,2024-01-01 10:59:59.405564,PC-115,suddenly.xlsx,Open,False
F248,U115,2024-01-01 12:29:59.405564,PC-115,child.pdf,Open,False
F249,U115,2024-01-01 12:47:59.405564,PC-115,American.xls,Open,False
F252,U115,2024-01-01 13:47:59.405564,PC-115,whose.ppt,Open,False
F253,U115,2024-01-01 14:26:59.405564,PC-115,safe.ods,Open,False
F256,U115,2024-01-01 15:51:59.405564,PC-115,laugh.ppt,Open,False
F261,U115,2024-01-01 17:39:59.405564,PC-115,worker.pptx,Open,False
F270,U116,2024-01-01 11:53:51.035950,PC-116,agree.docx,Open,False
F273,U116,2024-01-01 13:36:51.035950,PC-116,within.key,Open,False
F275,U116,2024-01-01 14:29:51.035950,PC-116,structure.xlsx,Open,False
F277,U116,2024-01-01 15:47:51.035950,PC-116,item.odp,Open,False
F278,U116,2024-01-01 16:29:51.035950,PC-116,it.pdf,Edit,False
F279,U116,2024-01-01 17:10:51.035950,PC-116,back.pages,Open,False
F282,U117,2024-01-01 09:22:33.263202,PC-117,free.xls,Open,False
F283,U117,2024-01-01 09:47:33.263202,PC-117,back.numbers,Edit,False
F293,U117,2024-01-01 13:11:33.263202,PC-117,teach.xls,Open,False
F300,U117,2024-01-01 16:18:33.263202,PC-117,them.odp,Open,False
F302,U117,2024-01-01 16:50:33.263202,PC-117,home.doc,Edit,False
F307,U118,2024-01-01 10:44:29.729787,PC-118,item.xlsx,Edit,False
F312,U118,2024-01-01 13:46:29.729787,PC-118,middle.key,Open,False
F316,U118,2024-01-01 15:26:29.729787,PC-118,safe.odp,Open,False
F321,U119,2024-01-01 10:27:39.715403,PC-119,woman.odp,Edit,False
F333,U119,2024-01-01 16:06:39.715403,PC-119,page.key,Open,False
F339,U120,2024-01-01 10:14:05.194577,PC-120,community.xls,Open,False
F340,U120,2024-01-01 10:19:05.194577,PC-120,too.pptx,Open,False
F344,U120,2024-01-01 11:43:05.194577,PC-120,two.numbers,Open,False
F349,U120,2024-01-01 14:30:05.194577,PC-120,participant.pptx,Open,False
F352,U120,2024-01-01 15:14:05.194577,PC-120,toward.ppt,Open,False
F354,U120,2024-01-01 16:00:05.194577,PC-120,keep.odt,Open,False
F366,U121,2024-01-01 10:21:07.872271,PC-121,form.pptx,Open,False
F368,U121,2024-01-01 11:39:07.872271,PC-121,green.numbers,Open,False
F380,U122,2024-01-01 11:15:20.331864,PC-122,watch.numbers,Open,False
F381,U122,2024-01-01 12:12:20.331864,PC-122,glass.odp,Edit,False
F395,U123,2024-01-01 10:39:44.906994,PC-123,know.ppt,Edit,False
F397,U123,2024-01-01 11:44:44.906994,PC-123,good.ods,Edit,False
F398,U123,2024-01-01 11:50:44.906994,PC-123,team.odt,Open,False
F399,U123,2024-01-01 12:02:44.906994,PC-123,phone.numbers,Open,False
F400,U123,2024-01-01 12:23:44.906994,PC-123,first.xls,Open,False
F408,U123,2024-01-01 15:22:44.906994,PC-123,really.xlsx,Open,False
F414,U124,2024-01-01 08:35:19.423061,PC-124,time.doc,Open,False
F419,U124,2024-01-01 10:43:19.423061,PC-124,raise.pptx,Open,False
F422,U124,2024-01-01 12:55:19.423061,PC-124,laugh.pages,Open,False
F426,U124,2024-01-01 15:04:19.423061,PC-124,religious.ppt,Open,False
F439,U125,2024-01-01 12:50:33.169827,PC-125,stand.docx,Open,False
F456,U126,2024-01-01 12:35:33.358342,PC-126,sound.numbers,Open,False
F464,U126,2024-01-01 15:26:33.358342,PC-126,form.docx,Open,False
F465,U126,2024-01-01 16:01:33.358342,PC-126,upon.pptx,Open,False
F470,U127,2024-01-01 10:15:50.513462,PC-127,forward.odt,Open,False
F471,U127,2024-01-01 11:05:50.513462,PC-127,challenge.pdf,Open,False
F473,U127,2024-01-01 12:24:50.513462,PC-127,plan.pages,Open,False
F478,U127,2024-01-01 15:31:50.513462,PC-127,much.docx,Open,False
F481,U128,2024-01-01 09:09:10.075069,PC-128,system.xlsx,Open,False
F485,U128,2024-01-01 12:06:10.075069,PC-128,everyone.docx,Open,False
F489,U128,2024-01-01 13:41:10.075069,PC-128,reality.key,Open,False
F491,U128,2024-01-01 15:11:10.075069,PC-128,summer.xlsx,Edit,False
F504,U129,2024-01-01 14:57:20.846974,PC-129,dinner.doc,Open,False
F512,U130,2024-01-01 12:02:44.480197,PC-130,never.pdf,Open,False
F516,U130,2024-01-01 13:40:44.480197,PC-130,worry.pptx,Open,False
F527,U130,2024-01-01 18:00:44.480197,PC-130,economy.ppt,Open,False
F531,U131,2024-01-01 09:40:58.473110,PC-131,process.numbers,Open,False
F538,U131,2024-01-01 13:11:58.473110,PC-131,development.xls,Open,False
F542,U131,2024-01-01 14:42:58.473110,PC-131,charge.odt,Open,False
F544,U131,2024-01-01 16:04:58.473110,PC-131,green.doc,Open,False
F548,U132,2024-01-01 08:46:31.817465,PC-132,point.odt,Edit,False
F549,U132,2024-01-01 09:29:31.817465,PC-132,behind.numbers,Open,False
F552,U132,2024-01-01 10:43:31.817465,PC-132,mouth.ods,Open,False
F561,U132,2024-01-01 15:04:31.817465,PC-132,while.pdf,Open,False
F562,U132,2024-01-01 16:02:31.817465,PC-132,your.xls,Open,False
F566,U133,2024-01-01 10:04:48.480163,PC-133,past.numbers,Open,False
F567,U133,2024-01-01 10:46:48.480163,PC-133,yet.pages,Open,False
F571,U133,2024-01-01 12:30:48.480163,PC-133,sometimes.pptx,Open,False
F575,U133,2024-01-01 14:48:48.480163,PC-133,fill.ppt,Open,False
F587,U134,2024-01-01 09:41:25.542972,PC-134,budget.xls,Open,False
F598,U134,2024-01-01 13:23:25.542972,PC-134,bar.xlsx,Edit,False
F599,U134,2024-01-01 13:40:25.542972,PC-134,life.ods,Open,False
F601,U134,2024-01-01 14:44:25.542972,PC-134,that.doc,Open,False
F604,U134,2024-01-01 16:02:25.542972,PC-134,officer.ppt,Open,False
F606,U134,2024-01-01 16:50:25.542972,PC-134,cut.pdf,Open,False
F609,U135,2024-01-01 10:12:51.723584,PC-135,ground.key,Open,False
F611,U135,2024-01-01 11:27:51.723584,PC-135,moment.xls,Open,False
F620,U135,2024-01-01 15:31:51.723584,PC-135,improve.odp,Open,False
F621,U135,2024-01-01 15:37:51.723584,PC-135,much.xlsx,Open,False
F631,U136,2024-01-01 10:02:38.184164,PC-136,mouth.pdf,Edit,False
F634,U136,2024-01-01 12:29:38.184164,PC-136,establish.odt,Open,False
F637,U136,2024-01-01 13:47:38.184164,PC-136,develop.docx,Open,False
F643,U137,2024-01-01 09:11:31.136097,PC-137,by.numbers,Open,False
F652,U137,2024-01-01 14:36:31.136097,PC-137,least.numbers,Open,False
F658,U138,2024-01-01 09:11:10.750356,PC-138,history.xls,Edit,False
F659,U138,2024-01-01 10:09:10.750356,PC-138,dog.odt,Open,False
F661,U138,2024-01-01 10:39:10.750356,PC-138,himself.odt,Open,False
F663,U138,2024-01-01 12:06:10.750356,PC-138,member.key,Open,False
F664,U138,2024-01-01 12:47:10.750356,PC-138,amount.pptx,Edit,False
F665,U138,2024-01-01 13:31:10.750356,PC-138,sort.xlsx,Open,False
F668,U138,2024-01-01 15:13:10.750356,PC-138,nation.docx,Open,False
F669,U138,2024-01-01 15:19:10.750356,PC-138,however.ppt,Open,False
F679,U139,2024-01-01 11:44:38.837470,PC-139,court.pdf,Open,False
F681,U139,2024-01-01 12:51:38.837470,PC-139,kind.numbers,Open,False
F682,U139,2024-01-01 13:31:38.837470,PC-139,police.xls,Open,False
F683,U139,2024-01-01 14:24:38.837470,PC-139,cost.docx,Open,False
F687,U139,2024-01-01 16:44:38.837470,PC-139,strategy.key,Open,False
F693,U140,2024-01-01 09:56:10.246668,PC-140,color.key,Open,False
F694,U140,2024-01-01 10:24:10.246668,PC-140,difficult.docx,Open,False
F697,U140,2024-01-01 12:06:10.246668,PC-140,benefit.pdf,Open,False
F699,U140,2024-01-01 13:06:10.246668,PC-140,everyone.docx,Open,False
F700,U140,2024-01-01 13:28:10.246668,PC-140,hospital.xlsx,Open,False
F702,U140,2024-01-01 14:13:10.246668,PC-140,action.ods,Edit,False
F712,U140,2024-01-01 17:55:10.246668,PC-140,magazine.numbers,Open,False
F722,U141,2024-01-01 11:36:49.308678,PC-141,high.pptx,Edit,False
F725,U141,2024-01-01 12:18:49.308678,PC-141,citizen.key,Open,False
F736,U142,2024-01-01 09:49:14.692016,PC-142,central.ods,Open,False
F738,U142,2024-01-01 10:31:14.692016,PC-142,ever.odt,Open,False
F746,U142,2024-01-01 13:53:14.692016,PC-142,bring.ppt,Open,False
F748,U142,2024-01-01 14:38:14.692016,PC-142,father.docx,Open,False
F756,U143,2024-01-01 10:03:50.491101,PC-143,garden.odt,Open,False
F757,U143,2024-01-01 10:56:50.491101,PC-143,computer.doc,Open,False
F758,U143,2024-01-01 11:27:50.491101,PC-143,fact.pdf,Open,False
F760,U143,2024-01-01 12:53:50.491101,PC-143,process.pdf,Open,False
F766,U143,2024-01-01 17:07:50.491101,PC-143,full.xlsx,Open,False
F771,U144,2024-01-01 09:41:23.617809,PC-144,might.numbers,Open,False
F775,U144,2024-01-01 11:23:23.617809,PC-144,scientist.ods,Open,False
F777,U144,2024-01-01 12:20:23.617809,PC-144,through.pptx,Open,False
F778,U144,2024-01-01 12:35:23.617809,PC-144,itself.pptx,Open,False
F781,U144,2024-01-01 13:51:23.617809,PC-144,much.odp,Edit,False
F784,U144,2024-01-01 15:04:23.617809,PC-144,meeting.pdf,Open,False
F794,U145,2024-01-01 12:11:24.542890,PC-145,eight.doc,Open,False
F800,U145,2024-01-01 15:49:24.542890,PC-145,night.pages,Open,False
F801,U145,2024-01-01 16:03:24.542890,PC-145,cultural.docx,Open,False
F804,U146,2024-01-01 09:10:20.873641,PC-146,month.xlsx,Open,False
F807,U146,2024-01-01 10:40:20.873641,PC-146,far.odp,Open,False
F811,U146,2024-01-01 12:48:20.873641,PC-146,degree.pdf,Open,False
F814,U146,2024-01-01 14:40:20.873641,PC-146,practice.pages,Open,False
F822,U147,2024-01-01 10:31:54.850244,PC-147,might.pages,Open,False
F827,U147,2024-01-01 14:51:54.850244,PC-147,start.xls,Open,False
F828,U147,2024-01-01 15:48:54.850244,PC-147,writer.pages,Open,False
F837,U148,2024-01-01 11:36:26.305204,PC-148,accept.pdf,Open,False
F838,U148,2024-01-01 12:03:26.305204,PC-148,us.pages,Open,False
F842,U148,2024-01-01 14:31:26.305204,PC-148,appear.docx,Open,False
F844,U148,2024-01-01 15:12:26.305204,PC-148,ten.odt,Open,False
F845,U148,2024-01-01 15:43:26.305204,PC-148,son.docx,Open,False
F851,U149,2024-01-01 09:33:45.452619,PC-149,successful.xlsx,Open,False
F852,U149,2024-01-01 10:07:45.452619,PC-149,join.pages,Open,False
F853,U149,2024-01-01 10:17:45.452619,PC-149,answer.odt,Edit,False
F854,U149,2024-01-01 10:42:45.452619,PC-149,hard.pptx,Open,False
F857,U149,2024-01-01 11:40:45.452619,PC-149,teach.pdf,Open,False
F859,U149,2024-01-01 13:04:45.452619,PC-149,health.pdf,Open,False
F860,U149,2024-01-01 14:04:45.452619,PC-149,church.docx,Open,False
F862,U149,2024-01-01 15:38:45.452619,PC-149,job.ppt,Open,False
F863,U149,2024-01-01 15:43:45.452619,PC-149,model.docx,Open,False
F868,U100,2024-01-02 09:13:07.449974,PC-100,grow.xlsx,Open,False
F870,U100,2024-01-02 10:34:07.449974,PC-100,above.docx,Open,False
F878,U100,2024-01-02 14:47:07.449974,PC-100,none.pdf,Edit,False
F879,U100,2024-01-02 15:23:07.449974,PC-100,win.docx,Edit,False
F882,U101,2024-01-02 09:52:36.689920,PC-101,south.pdf,Open,False
